TX_RESP_Q042_B;TX_RESP_Q043_A;TX_RESP_Q004_H;TX_RESP_Q019_F;TX_RESP_Q042_C;TX_RESP_Q018_B;TX_RESP_Q004_F;TX_RESP_Q004_E;TX_RESP_Q013_C;TX_RESP_Q041_B;TX_RESP_Q004_C;TX_RESP_Q036_C;TX_RESP_Q013_B;TX_RESP_Q019_D;TX_RESP_Q041_C;TX_RESP_Q004_B;TX_RESP_Q040_C;TX_RESP_Q014_C;TX_RESP_Q060_A;NU_COMP_ALUNO;TX_RESP_Q043_B;TX_RESP_Q055_B;TX_RESP_Q015_B;TX_RESP_Q019_B;TX_RESP_Q051_B;TX_RESP_Q060_C;TX_RESP_Q035_B;TX_RESP_Q023_F;TX_RESP_Q045_D;TX_RESP_Q023_C;NU_EQUIP_IMPRESSORA;TX_RESP_Q018_C;NU_FUNCIONARIOS;TX_RESP_Q023_E;TX_RESP_Q024_B;TX_RESP_Q016_F;TX_RESP_Q017_B;TX_RESP_Q059_B;TX_RESP_Q019_E;TX_RESP_Q056_C
0.09090909090909091;0.11023622047244094;0.0967741935483871;0.08333333333333333;0.1764705882352941;0.08235294117647059;0.046511627906976744;0.041666666666666664;0.0;0.05673758865248226;0.0989010989010989;0.04316546762589928;0.06349206349206349;0.07954545454545454;0.046511627906976744;0.42857142857142855;0.08771929824561403;0.0335195530726257;0.1016042780748663;0.23157894736842105;0.0778688524590164;0.09090909090909091;0.03333333333333333;0.10687022900763359;0.004694835680751174;0.0228310502283105;0.1232876712328767;0.046511627906976744;0.0;0.16666666666666666;0.0;0.10526315789473684;0.07623318385650223;0.05056179775280899;0.09411764705882353;0.03061224489795918;0.06976744186046512;0.0;0.058252427184466014;0.0
0.18181818181818182;0.09448818897637795;0.12903225806451613;0.10714285714285714;0.0;0.1411764705882353;0.13953488372093023;0.19444444444444442;0.0;0.1702127659574468;0.07326007326007326;0.10791366906474821;0.0873015873015873;0.2159090909090909;0.27906976744186046;0.07142857142857142;0.10526315789473684;0.07262569832402235;0.026737967914438502;0.2631578947368421;0.13729508196721313;0.11188811188811189;0.2;0.09923664122137404;0.028169014084507043;0.1552511415525114;0.17123287671232876;0.09302325581395349;0.02531645569620253;0.15384615384615385;0.0;0.2631578947368421;0.13004484304932734;0.10674157303370786;0.11764705882352941;0.10204081632653061;0.16279069767441862;0.011494252873563218;0.07766990291262135;0.08695652173913043
0.0;0.19685039370078738;0.03225806451612903;0.03571428571428571;0.058823529411764705;0.10588235294117647;0.0;0.08333333333333333;0.03773584905660377;0.11347517730496454;0.10989010989010989;0.10071942446043167;0.05952380952380952;0.045454545454545456;0.046511627906976744;0.14285714285714285;0.0;0.09497206703910614;0.1016042780748663;0.12631578947368421;0.10040983606557377;0.06293706293706294;0.08888888888888889;0.183206106870229;0.0;0.0228310502283105;0.14383561643835616;0.0;0.0;0.08974358974358974;0.5;0.0;0.07623318385650223;0.056179775280898875;0.14705882352941177;0.14285714285714285;0.13953488372093023;0.011494252873563218;0.058252427184466014;0.043478260869565216
0.2909090909090909;0.49606299212598426;0.1935483870967742;0.05952380952380952;0.23529411764705882;0.2;0.2558139534883721;0.3333333333333333;0.07547169811320754;0.40425531914893614;0.18681318681318682;0.18705035971223022;0.15079365079365079;0.29545454545454547;0.41860465116279066;0.21428571428571427;0.19298245614035087;0.22905027932960895;0.08021390374331551;0.22105263157894736;0.24590163934426232;0.2097902097902098;0.23333333333333334;0.35877862595419846;0.107981220657277;0.3424657534246575;0.3972602739726028;0.06976744186046512;0.0379746835443038;0.3333333333333333;0.16666666666666666;0.42105263157894735;0.21076233183856502;0.11797752808988764;0.3411764705882353;0.31632653061224486;0.4418604651162791;0.06321839080459771;0.1116504854368932;0.043478260869565216
0.09090909090909091;0.18110236220472442;0.12903225806451613;0.03571428571428571;0.23529411764705882;0.1411764705882353;0.11627906976744186;0.15277777777777776;0.0;0.15602836879432624;0.08424908424908426;0.10071942446043167;0.047619047619047616;0.05681818181818182;0.13953488372093023;0.0;0.07017543859649122;0.111731843575419;0.0909090909090909;0.10526315789473684;0.09221311475409835;0.08391608391608392;0.14444444444444446;0.16793893129770993;0.028169014084507043;0.0639269406392694;0.136986301369863;0.046511627906976744;0.0;0.1282051282051282;0.0;0.15789473684210525;0.11659192825112107;0.016853932584269662;0.11764705882352941;0.14285714285714285;0.23255813953488372;0.09770114942528735;0.014563106796116504;0.043478260869565216
0.10909090909090909;0.11811023622047244;0.03225806451612903;0.023809523809523808;0.058823529411764705;0.07058823529411765;0.06976744186046512;0.1111111111111111;0.018867924528301886;0.09219858156028368;0.06593406593406594;0.03597122302158273;0.03968253968253968;0.05681818181818182;0.046511627906976744;0.0;0.03508771929824561;0.05027932960893855;0.0481283422459893;0.5894736842105263;0.04713114754098361;0.06293706293706294;0.03333333333333333;0.0916030534351145;0.014084507042253521;0.0365296803652968;0.08904109589041095;0.023255813953488372;0.012658227848101266;0.0641025641025641;0.0;0.10526315789473684;0.040358744394618826;0.0;0.06470588235294117;0.13265306122448978;0.06976744186046512;0.005747126436781609;0.014563106796116504;0.0
0.21818181818181817;0.30708661417322836;0.0967741935483871;0.023809523809523808;0.058823529411764705;0.2;0.23255813953488372;0.2361111111111111;0.07547169811320754;0.24822695035460993;0.12087912087912088;0.08633093525179857;0.06349206349206349;0.06818181818181818;0.3023255813953488;0.0;0.0;0.15083798882681565;0.1283422459893048;0.34736842105263155;0.11475409836065575;0.1888111888111888;0.03333333333333333;0.25190839694656486;0.009389671361502348;0.0684931506849315;0.2808219178082192;0.023255813953488372;0.012658227848101266;0.20512820512820512;0.0;0.10526315789473684;0.09865470852017937;0.028089887640449437;0.2588235294117647;0.22448979591836735;0.09302325581395349;0.022988505747126436;0.029126213592233007;0.08695652173913043
0.36363636363636365;0.8425196850393701;0.4193548387096774;0.14285714285714285;1.0;0.6823529411764706;0.6511627906976745;0.4861111111111111;0.1509433962264151;0.4893617021276595;0.4065934065934066;0.5035971223021583;0.32539682539682535;0.5909090909090909;0.3023255813953488;0.21428571428571427;0.19298245614035087;0.30726256983240224;0.3957219251336898;0.6210526315789473;0.5368852459016393;0.43356643356643354;0.788888888888889;0.931297709923664;0.11737089201877934;0.3881278538812785;0.7945205479452054;0.13953488372093023;0.06329113924050633;0.5;0.5;0.7894736842105263;0.4080717488789237;0.12359550561797752;0.9117647058823529;0.4081632653061224;0.6976744186046512;0.28735632183908044;0.2087378640776699;0.13043478260869565
0.05454545454545454;0.09448818897637795;0.0967741935483871;0.023809523809523808;0.0;0.10588235294117647;0.0;0.125;0.0;0.06382978723404256;0.04395604395604395;0.07194244604316546;0.03571428571428571;0.06818181818181818;0.09302325581395349;0.0;0.0;0.03910614525139665;0.0748663101604278;0.37894736842105264;0.09016393442622953;0.1048951048951049;0.1;0.12213740458015268;0.03286384976525822;0.0776255707762557;0.136986301369863;0.0;0.0379746835443038;0.16666666666666666;0.0;0.2631578947368421;0.08071748878923767;0.016853932584269662;0.16470588235294117;0.0;0.09302325581395349;0.040229885057471264;0.03398058252427184;0.17391304347826086
0.2545454545454545;0.33858267716535434;0.3548387096774194;0.13095238095238093;0.23529411764705882;0.3058823529411765;0.23255813953488372;0.3611111111111111;0.09433962264150943;0.276595744680851;0.13553113553113552;0.2446043165467626;0.1468253968253968;0.18181818181818182;0.3023255813953488;0.6428571428571428;0.03508771929824561;0.08379888268156425;0.0855614973262032;0.18947368421052632;0.22950819672131148;0.1958041958041958;0.15555555555555556;0.32061068702290074;0.018779342723004695;0.182648401826484;0.3356164383561644;0.11627906976744186;0.012658227848101266;0.3076923076923077;0.16666666666666666;0.3157894736842105;0.1255605381165919;0.0449438202247191;0.43529411764705883;0.15306122448979592;0.23255813953488372;0.04597701149425287;0.1262135922330097;0.08695652173913043
0.09090909090909091;0.09448818897637795;0.16129032258064516;0.13095238095238093;0.11764705882352941;0.16470588235294117;0.3488372093023256;0.3055555555555555;0.07547169811320754;0.326241134751773;0.13186813186813187;0.1798561151079137;0.18253968253968253;0.17045454545454547;0.3488372093023256;0.07142857142857142;0.05263157894736842;0.17318435754189945;0.0748663101604278;0.14736842105263157;0.2336065573770492;0.22377622377622378;0.16666666666666669;0.21374045801526717;0.11267605633802817;0.1095890410958904;0.3082191780821918;0.16279069767441862;0.02531645569620253;0.24358974358974358;0.0;0.2631578947368421;0.07623318385650223;0.056179775280898875;0.2411764705882353;0.26530612244897955;0.16279069767441862;0.06321839080459771;0.05339805825242718;0.13043478260869565
