IN_AUDITORIO;IN_PATIO_COBERTO;NU_EQUIP_IMPRESSORA;NU_EQUIP_MULTIMIDIA;IN_EJA;IN_COMUM_EJA_MEDIO;TX_RESP_Q004_C;TX_RESP_Q004_F;TX_RESP_Q004_G;TX_RESP_Q004_H;TX_RESP_Q013_C;TX_RESP_Q018_B;TX_RESP_Q019_F;TX_RESP_Q023_F;TX_RESP_Q041_C;TX_RESP_Q042_B;TX_RESP_Q042_C
0.0;1.0;0.0;0.3125;1.0;1.0;0.0989010989010989;0.046511627906976744;0.0;0.0967741935483871;0.0;0.08235294117647059;0.08333333333333333;0.046511627906976744;0.046511627906976744;0.09090909090909091;0.1764705882352941
0.0;1.0;0.0;0.25;1.0;1.0;0.07326007326007326;0.13953488372093023;0.25;0.12903225806451613;0.0;0.1411764705882353;0.10714285714285714;0.09302325581395349;0.27906976744186046;0.18181818181818182;0.0
0.0;1.0;0.5;0.25;1.0;1.0;0.10989010989010989;0.0;0.0625;0.03225806451612903;0.03773584905660377;0.10588235294117647;0.03571428571428571;0.0;0.046511627906976744;0.0;0.058823529411764705
0.0;1.0;0.16666666666666666;0.125;0.0;0.0;0.18681318681318682;0.2558139534883721;0.625;0.1935483870967742;0.07547169811320754;0.2;0.05952380952380952;0.06976744186046512;0.41860465116279066;0.2909090909090909;0.23529411764705882
1.0;1.0;0.0;0.0625;0.0;0.0;0.08424908424908426;0.11627906976744186;0.0625;0.12903225806451613;0.0;0.1411764705882353;0.03571428571428571;0.046511627906976744;0.13953488372093023;0.09090909090909091;0.23529411764705882
0.0;1.0;0.0;0.125;0.0;0.0;0.06593406593406594;0.06976744186046512;0.0625;0.03225806451612903;0.018867924528301886;0.07058823529411765;0.023809523809523808;0.023255813953488372;0.046511627906976744;0.10909090909090909;0.058823529411764705
0.0;1.0;0.0;0.1875;0.0;0.0;0.12087912087912088;0.23255813953488372;0.1875;0.0967741935483871;0.07547169811320754;0.2;0.023809523809523808;0.023255813953488372;0.3023255813953488;0.21818181818181817;0.058823529411764705
1.0;0.0;0.5;0.1875;1.0;1.0;0.4065934065934066;0.6511627906976745;0.625;0.4193548387096774;0.1509433962264151;0.6823529411764706;0.14285714285714285;0.13953488372093023;0.3023255813953488;0.36363636363636365;1.0
1.0;1.0;0.0;0.0625;1.0;1.0;0.04395604395604395;0.0;0.1875;0.0967741935483871;0.0;0.10588235294117647;0.023809523809523808;0.0;0.09302325581395349;0.05454545454545454;0.0
0.0;1.0;0.16666666666666666;0.0625;1.0;1.0;0.13553113553113552;0.23255813953488372;0.375;0.3548387096774194;0.09433962264150943;0.3058823529411765;0.13095238095238093;0.11627906976744186;0.3023255813953488;0.2545454545454545;0.23529411764705882
