NU_FUNCIONARIOS;IN_EJA;IN_COMUM_FUND_AF;TX_RESP_Q002_A;TX_RESP_Q004_C;TX_RESP_Q004_E;TX_RESP_Q004_F;TX_RESP_Q004_G;TX_RESP_Q004_H;TX_RESP_Q012_B;TX_RESP_Q013_A;TX_RESP_Q013_C;TX_RESP_Q014_C;TX_RESP_Q015_B;TX_RESP_Q018_B;TX_RESP_Q019_F;TX_RESP_Q019_G;TX_RESP_Q023_G;TX_RESP_Q034_A;TX_RESP_Q036_C;TX_RESP_Q036_E;TX_RESP_Q037_D;TX_RESP_Q038_A;TX_RESP_Q041_A;TX_RESP_Q041_B;TX_RESP_Q041_C;TX_RESP_Q042_B;TX_RESP_Q042_C;TX_RESP_Q043_A;TX_RESP_Q043_B
0.16239316239316243;1.0;1.0;0.04424778761061947;0.027624309392265192;0.15151515151515152;0.03125;0.0;0.0;0.049689440993788817;0.08189655172413793;0.031746031746031744;0.04;0.0625;0.10526315789473684;0.0;0.0;0.01904761904761905;0.05263157894736842;0.07608695652173914;0.08333333333333333;0.08333333333333333;0.10569105691056911;0.037617554858934164;0.13392857142857142;0.1;0.21052631578947367;0.0;0.1111111111111111;0.03980099502487562
0.15811965811965814;1.0;1.0;0.09734513274336283;0.17679558011049723;0.07575757575757576;0.03125;0.0;0.0;0.09937888198757763;0.125;0.09523809523809523;0.09333333333333334;0.15625;0.08771929824561403;0.02040816326530612;0.14035087719298245;0.1904761904761905;0.13157894736842105;0.21739130434782608;0.1111111111111111;0.05;0.04065040650406505;0.16927899686520376;0.11607142857142856;0.04;0.05263157894736842;0.0625;0.018518518518518517;0.15671641791044777
0.0982905982905983;0.0;1.0;0.061946902654867256;0.06629834254143646;0.045454545454545456;0.09375;0.07142857142857142;0.0;0.08695652173913043;0.07327586206896551;0.015873015873015872;0.06666666666666667;0.0625;0.03508771929824561;0.0;0.08771929824561403;0.09523809523809526;0.05921052631578947;0.07608695652173914;0.0;0.1;0.0813008130081301;0.0909090909090909;0.07142857142857142;0.06;0.07894736842105263;0.0625;0.07407407407407407;0.06965174129353234
0.12393162393162396;1.0;0.0;0.12389380530973451;0.22651933701657456;0.045454545454545456;0.03125;0.07142857142857142;0.0;0.18012422360248445;0.11206896551724138;0.06349206349206349;0.16;0.21875;0.12280701754385964;0.2040816326530612;0.07017543859649122;0.08571428571428572;0.19078947368421054;0.20652173913043478;0.0;0.15;0.05691056910569106;0.1724137931034483;0.15178571428571427;0.1;0.07894736842105263;0.125;0.08333333333333333;0.15920398009950248
0.19230769230769235;1.0;1.0;0.061946902654867256;0.08839779005524862;0.015151515151515152;0.03125;0.0;0.0;0.06211180124223602;0.08189655172413793;0.06349206349206349;0.060000000000000005;0.03125;0.08771929824561403;0.0;0.05263157894736842;0.0761904761904762;0.07236842105263158;0.06521739130434782;0.05555555555555555;0.08333333333333333;0.06504065040650407;0.08150470219435736;0.125;0.02;0.02631578947368421;0.0;0.06481481481481481;0.07462686567164178
0.06837606837606838;1.0;1.0;0.061946902654867256;0.13259668508287292;0.015151515151515152;0.0;0.0;0.0;0.10559006211180123;0.07758620689655173;0.06349206349206349;0.05333333333333334;0.03125;0.08771929824561403;0.04081632653061224;0.05263157894736842;0.08571428571428572;0.07236842105263158;0.13043478260869565;0.027777777777777776;0.05;0.0813008130081301;0.10344827586206896;0.09821428571428571;0.02;0.02631578947368421;0.0;0.027777777777777776;0.0945273631840796
0.21794871794871798;0.0;0.0;0.21238938053097345;0.6685082872928176;0.09090909090909091;0.0;0.0;0.0;0.45341614906832295;0.43103448275862066;0.19047619047619047;0.23333333333333334;0.3125;0.22807017543859648;0.36734693877551017;0.15789473684210525;0.29523809523809524;0.5986842105263158;0.5543478260869565;0.08333333333333333;0.25;0.032520325203252036;0.5391849529780564;0.27678571428571425;0.06;0.13157894736842105;0.0;0.09259259259259259;0.47761194029850745
0.26495726495726496;1.0;1.0;0.2743362831858407;0.2928176795580111;0.13636363636363635;0.1875;0.14285714285714285;0.0;0.14906832298136646;0.27586206896551724;0.031746031746031744;0.08;0.25;0.19298245614035087;0.08163265306122448;0.2982456140350877;0.26666666666666666;0.1513157894736842;0.20652173913043478;0.08333333333333333;0.15;0.14634146341463417;0.15987460815047022;0.36607142857142855;0.14;0.3684210526315789;0.125;0.2962962962962963;0.15671641791044777
0.10256410256410259;0.0;0.0;0.1504424778761062;0.16574585635359118;0.045454545454545456;0.0;0.0;0.0;0.10559006211180123;0.04741379310344827;0.14285714285714285;0.14;0.03125;0.07017543859649122;0.18367346938775508;0.05263157894736842;0.057142857142857155;0.08552631578947367;0.07608695652173914;0.0;0.0;0.016260162601626018;0.09717868338557993;0.08928571428571427;0.08;0.07894736842105263;0.0625;0.10185185185185185;0.07462686567164178
0.0982905982905983;1.0;0.0;0.20353982300884954;0.18232044198895025;0.15151515151515152;0.03125;0.14285714285714285;0.0;0.09316770186335403;0.3103448275862069;0.0;0.04666666666666667;0.28125;0.17543859649122806;0.12244897959183673;0.22807017543859648;0.17142857142857146;0.17763157894736842;0.15217391304347827;0.2777777777777778;0.2;0.0813008130081301;0.16614420062695925;0.25;0.12;0.0;0.0;0.18518518518518517;0.15671641791044777
