IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_LABORATORIO_CIENCIAS;IN_QUADRA_ESPORTES_COBERTA;IN_QUADRA_ESPORTES;IN_BANHEIRO_PNE;IN_REFEITORIO;IN_AUDITORIO;NU_SALAS_EXISTENTES;IN_EQUIP_COPIADORA;NU_EQUIP_COPIADORA;NU_EQUIP_SOM;NU_EQUIP_FOTO;NU_FUNCIONARIOS;TP_ATIVIDADE_COMPLEMENTAR;IN_EJA;IN_PROFISSIONALIZANTE;IN_COMUM_FUND_AF;IN_COMUM_MEDIO_NORMAL;IN_COMUM_EJA_FUND;IN_COMUM_EJA_MEDIO;TX_RESP_Q002_A;TX_RESP_Q002_F;TX_RESP_Q004_B;TX_RESP_Q004_C;TX_RESP_Q004_E;TX_RESP_Q004_F;TX_RESP_Q004_G;TX_RESP_Q004_H;TX_RESP_Q005_A;TX_RESP_Q008_A;TX_RESP_Q012_B;TX_RESP_Q012_C;TX_RESP_Q013_A;TX_RESP_Q013_B;TX_RESP_Q013_C;TX_RESP_Q014_A;TX_RESP_Q014_C;TX_RESP_Q015_A;TX_RESP_Q015_B;TX_RESP_Q016_A;TX_RESP_Q016_D;TX_RESP_Q016_F;TX_RESP_Q017_C;TX_RESP_Q017_E;TX_RESP_Q018_B;TX_RESP_Q019_A;TX_RESP_Q019_B;TX_RESP_Q019_E;TX_RESP_Q019_F;TX_RESP_Q019_G;TX_RESP_Q020_B;TX_RESP_Q023_A;TX_RESP_Q023_B;TX_RESP_Q023_D;TX_RESP_Q023_E;TX_RESP_Q023_F;TX_RESP_Q023_G;TX_RESP_Q024_B;TX_RESP_Q026_C;TX_RESP_Q027_B;TX_RESP_Q030_B;TX_RESP_Q035_C;TX_RESP_Q036_A;TX_RESP_Q036_C;TX_RESP_Q036_E;TX_RESP_Q037_A;TX_RESP_Q037_D;TX_RESP_Q038_A;TX_RESP_Q039_A;TX_RESP_Q039_C;TX_RESP_Q039_D;TX_RESP_Q040_B;TX_RESP_Q041_A;TX_RESP_Q041_B;TX_RESP_Q041_C;TX_RESP_Q042_B;TX_RESP_Q042_C;TX_RESP_Q043_A;TX_RESP_Q043_B;TX_RESP_Q050_B;TX_RESP_Q058_B;TX_RESP_Q060_A;TX_RESP_Q060_B;TX_RESP_Q060_D
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19444444444444448;1.0;0.2;0.06060606060606061;0.0;0.16239316239316243;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.04424778761061947;0.07894736842105263;0.020833333333333332;0.027624309392265192;0.15151515151515152;0.03125;0.0;0.0;0.08695652173913043;0.0;0.049689440993788817;0.043478260869565216;0.08189655172413793;0.04938271604938272;0.031746031746031744;0.0;0.04;0.0;0.0625;0.0;0.03205128205128205;0.045454545454545456;0.09090909090909091;0.5;0.10526315789473684;0.05;0.10476190476190478;0.036036036036036036;0.0;0.0;0.0425531914893617;0.03125;0.04672897196261682;0.07575757575757576;0.048387096774193554;0.06666666666666667;0.01904761904761905;0.03076923076923077;0.064;0.0;0.08333333333333333;0.047619047619047616;0.0510204081632653;0.07608695652173914;0.08333333333333333;0.06382978723404255;0.08333333333333333;0.10569105691056911;0.059907834101382486;0.021052631578947368;0.06666666666666667;0.04;0.037617554858934164;0.13392857142857142;0.1;0.21052631578947367;0.0;0.1111111111111111;0.03980099502487562;0.046153846153846156;0.05737704918032787;0.013513513513513514;0.008695652173913045;0.2191780821917808
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;1.0;0.2;0.09090909090909091;0.15384615384615385;0.15811965811965814;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.09734513274336283;0.2631578947368421;0.22916666666666666;0.17679558011049723;0.07575757575757576;0.03125;0.0;0.0;0.0;0.0;0.09937888198757763;0.13043478260869565;0.125;0.1440329218106996;0.09523809523809523;0.0;0.09333333333333334;0.3333333333333333;0.15625;0.0;0.1858974358974359;0.11363636363636365;0.09090909090909091;0.0;0.08771929824561403;0.0;0.06666666666666668;0.12612612612612611;0.02040816326530612;0.14035087719298245;0.02127659574468085;0.0;0.05607476635514018;0.07575757575757576;0.11290322580645162;0.06666666666666667;0.1904761904761905;0.038461538461538464;0.048;0.06666666666666667;0.16666666666666666;0.047619047619047616;0.1020408163265306;0.21739130434782608;0.1111111111111111;0.19148936170212766;0.05;0.04065040650406505;0.10138248847926268;0.05263157894736842;0.0;0.08;0.16927899686520376;0.11607142857142856;0.04;0.05263157894736842;0.0625;0.018518518518518517;0.15671641791044777;0.03076923076923077;0.04918032786885246;0.22972972972972974;0.1782608695652174;0.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.2222222222222222;1.0;0.6000000000000001;0.06060606060606061;0.0;0.0982905982905983;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.061946902654867256;0.13157894736842105;0.125;0.06629834254143646;0.045454545454545456;0.09375;0.07142857142857142;0.0;0.13043478260869565;0.0;0.08695652173913043;0.08695652173913043;0.07327586206896551;0.09465020576131689;0.015873015873015872;0.041666666666666664;0.06666666666666667;0.0;0.0625;0.0;0.09615384615384615;0.03409090909090909;0.0;0.0;0.03508771929824561;0.0;0.0761904761904762;0.036036036036036036;0.0;0.08771929824561403;0.02127659574468085;0.046875;0.06542056074766354;0.09090909090909091;0.03763440860215054;0.0;0.09523809523809526;0.038461538461538464;0.008;0.0;0.0;0.047619047619047616;0.11224489795918366;0.07608695652173914;0.0;0.0851063829787234;0.1;0.0813008130081301;0.07373271889400922;0.05263157894736842;0.06666666666666667;0.0;0.0909090909090909;0.07142857142857142;0.06;0.07894736842105263;0.0625;0.07407407407407407;0.06965174129353234;0.03076923076923077;0.00819672131147541;0.0;0.04782608695652174;0.0136986301369863
0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.3055555555555555;1.0;0.4;0.06060606060606061;0.15384615384615385;0.12393162393162396;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.12389380530973451;0.07894736842105263;0.14583333333333331;0.22651933701657456;0.045454545454545456;0.03125;0.07142857142857142;0.0;0.0;0.0;0.18012422360248445;0.17391304347826086;0.11206896551724138;0.19753086419753088;0.06349206349206349;0.0;0.16;0.0;0.21875;0.0;0.15384615384615385;0.10227272727272728;0.09090909090909091;0.0;0.12280701754385964;0.0;0.08571428571428572;0.14864864864864866;0.2040816326530612;0.07017543859649122;0.02127659574468085;0.046875;0.08411214953271028;0.16666666666666669;0.1827956989247312;0.06666666666666667;0.08571428571428572;0.07692307692307693;0.096;0.0;0.08333333333333333;0.09523809523809523;0.17346938775510204;0.20652173913043478;0.0;0.09929078014184398;0.15;0.05691056910569106;0.1935483870967742;0.07368421052631578;0.0;0.08;0.1724137931034483;0.15178571428571427;0.1;0.07894736842105263;0.125;0.08333333333333333;0.15920398009950248;0.03076923076923077;0.1721311475409836;0.43243243243243246;0.13478260869565217;0.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.25;0.0;0.0;0.09090909090909091;0.07692307692307693;0.19230769230769235;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.061946902654867256;0.07894736842105263;0.08333333333333333;0.08839779005524862;0.015151515151515152;0.03125;0.0;0.0;0.13043478260869565;0.0;0.06211180124223602;0.043478260869565216;0.08189655172413793;0.07818930041152264;0.06349206349206349;0.0;0.060000000000000005;0.0;0.03125;0.0;0.07051282051282051;0.022727272727272728;0.0;0.0;0.08771929824561403;0.025;0.06666666666666668;0.06756756756756757;0.0;0.05263157894736842;0.05319148936170213;0.03125;0.037383177570093455;0.07575757575757576;0.06451612903225806;0.03333333333333333;0.0761904761904762;0.046153846153846156;0.056;0.0;0.0;0.09523809523809523;0.12244897959183673;0.06521739130434782;0.05555555555555555;0.0921985815602837;0.08333333333333333;0.06504065040650407;0.08755760368663594;0.021052631578947368;0.0;0.12;0.08150470219435736;0.125;0.02;0.02631578947368421;0.0;0.06481481481481481;0.07462686567164178;0.046153846153846156;0.0;0.20270270270270271;0.08695652173913043;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.4444444444444445;1.0;0.2;0.06060606060606061;0.07692307692307693;0.06837606837606838;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.061946902654867256;0.05263157894736842;0.14583333333333331;0.13259668508287292;0.015151515151515152;0.0;0.0;0.0;0.043478260869565216;0.0;0.10559006211180123;0.043478260869565216;0.07758620689655173;0.09876543209876544;0.06349206349206349;0.0;0.05333333333333334;0.0;0.03125;0.0;0.1282051282051282;0.022727272727272728;0.0;0.0;0.08771929824561403;0.0;0.0380952380952381;0.10810810810810811;0.04081632653061224;0.05263157894736842;0.010638297872340425;0.015625;0.06542056074766354;0.030303030303030304;0.10215053763440861;0.1;0.08571428571428572;0.03076923076923077;0.024;0.06666666666666667;0.08333333333333333;0.047619047619047616;0.0510204081632653;0.13043478260869565;0.027777777777777776;0.13475177304964536;0.05;0.0813008130081301;0.08755760368663594;0.05263157894736842;0.13333333333333333;0.08;0.10344827586206896;0.09821428571428571;0.02;0.02631578947368421;0.0;0.027777777777777776;0.0945273631840796;0.046153846153846156;0.04918032786885246;0.0;0.008695652173913045;0.3150684931506849
0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.4444444444444445;1.0;0.2;0.030303030303030304;0.07692307692307693;0.21794871794871798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21238938053097345;0.21052631578947367;0.8125;0.6685082872928176;0.09090909090909091;0.0;0.0;0.0;0.17391304347826086;0.21428571428571427;0.45341614906832295;0.21739130434782608;0.43103448275862066;0.3909465020576132;0.19047619047619047;0.041666666666666664;0.23333333333333334;0.16666666666666666;0.3125;0.0;0.5256410256410257;0.18181818181818182;0.36363636363636365;0.0;0.22807017543859648;0.07500000000000001;0.1142857142857143;0.4774774774774775;0.36734693877551017;0.15789473684210525;0.07446808510638298;0.015625;0.205607476635514;0.5909090909090909;0.39784946236559143;0.36666666666666664;0.29523809523809524;0.09230769230769231;0.16;0.2;0.08333333333333333;0.19047619047619047;0.36734693877551017;0.5543478260869565;0.08333333333333333;0.5957446808510638;0.25;0.032520325203252036;0.4792626728110599;0.05263157894736842;0.13333333333333333;0.16;0.5391849529780564;0.27678571428571425;0.06;0.13157894736842105;0.0;0.09259259259259259;0.47761194029850745;0.13846153846153847;0.18032786885245902;0.8243243243243243;0.5260869565217392;0.0
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.4444444444444445;1.0;0.2;0.21212121212121213;0.15384615384615385;0.26495726495726496;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.2743362831858407;0.21052631578947367;0.08333333333333333;0.2928176795580111;0.13636363636363635;0.1875;0.14285714285714285;0.0;0.17391304347826086;0.14285714285714285;0.14906832298136646;0.17391304347826086;0.27586206896551724;0.13991769547325103;0.031746031746031744;0.041666666666666664;0.08;0.0;0.25;0.0;0.1987179487179487;0.11363636363636365;0.2727272727272727;0.0;0.19298245614035087;0.125;0.20952380952380956;0.08558558558558559;0.08163265306122448;0.2982456140350877;0.11702127659574468;0.140625;0.27102803738317754;0.045454545454545456;0.06989247311827958;0.1;0.26666666666666666;0.2076923076923077;0.024;0.2;0.16666666666666666;0.2857142857142857;0.21428571428571427;0.20652173913043478;0.08333333333333333;0.20567375886524822;0.15;0.14634146341463417;0.14285714285714285;0.28421052631578947;0.26666666666666666;0.16;0.15987460815047022;0.36607142857142855;0.14;0.3684210526315789;0.125;0.2962962962962963;0.15671641791044777;0.18461538461538463;0.2377049180327869;0.1891891891891892;0.2521739130434783;0.0
0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.19444444444444448;0.0;0.0;0.0;0.07692307692307693;0.10256410256410259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1504424778761062;0.0;0.0625;0.16574585635359118;0.045454545454545456;0.0;0.0;0.0;0.043478260869565216;0.0;0.10559006211180123;0.2608695652173913;0.04741379310344827;0.10699588477366256;0.14285714285714285;0.0;0.14;0.0;0.03125;0.0;0.07051282051282051;0.022727272727272728;0.18181818181818182;0.0;0.07017543859649122;0.025;0.05714285714285715;0.07207207207207207;0.18367346938775508;0.05263157894736842;0.031914893617021274;0.046875;0.018691588785046728;0.06060606060606061;0.0913978494623656;0.23333333333333334;0.057142857142857155;0.05384615384615385;0.024;0.0;0.0;0.047619047619047616;0.061224489795918366;0.07608695652173914;0.0;0.14184397163120566;0.0;0.016260162601626018;0.11059907834101382;0.010526315789473684;0.0;0.0;0.09717868338557993;0.08928571428571427;0.08;0.07894736842105263;0.0625;0.10185185185185185;0.07462686567164178;0.015384615384615385;0.04098360655737705;0.14864864864864866;0.1217391304347826;0.0
1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.2222222222222222;1.0;0.2;0.06060606060606061;0.07692307692307693;0.0982905982905983;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.20353982300884954;0.21052631578947367;0.2708333333333333;0.18232044198895025;0.15151515151515152;0.03125;0.14285714285714285;0.0;0.4782608695652174;0.0;0.09316770186335403;0.08695652173913043;0.3103448275862069;0.06584362139917696;0.0;0.16666666666666666;0.04666666666666667;0.0;0.28125;0.0;0.1858974358974359;0.23863636363636365;0.18181818181818182;0.0;0.17543859649122806;0.025;0.2571428571428572;0.07207207207207207;0.12244897959183673;0.22807017543859648;0.0851063829787234;0.125;0.27102803738317754;0.07575757575757576;0.05376344086021506;0.03333333333333333;0.17142857142857146;0.14615384615384616;0.032;0.06666666666666667;0.0;0.09523809523809523;0.2040816326530612;0.15217391304347827;0.2777777777777778;0.18439716312056736;0.2;0.0813008130081301;0.059907834101382486;0.23157894736842105;0.13333333333333333;0.0;0.16614420062695925;0.25;0.12;0.0;0.0;0.18518518518518517;0.15671641791044777;0.26153846153846155;0.2213114754098361;0.13513513513513514;0.23043478260869565;0.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.061946902654867256;0.10526315789473684;0.0625;0.0055248618784530384;0.10606060606060606;0.0625;0.14285714285714285;0.09090909090909091;0.21739130434782608;0.0;0.024844720496894408;0.0;0.09913793103448276;0.01234567901234568;0.0;0.125;0.006666666666666667;0.16666666666666666;0.15625;0.2;0.08333333333333333;0.05681818181818182;0.0;0.5;0.10526315789473684;0.025;0.06666666666666668;0.009009009009009009;0.02040816326530612;0.08771929824561403;0.031914893617021274;0.078125;0.05607476635514018;0.0;0.010752688172043012;0.0;0.057142857142857155;0.046153846153846156;0.032;0.3333333333333333;0.16666666666666666;0.09523809523809523;0.14285714285714285;0.010869565217391304;0.08333333333333333;0.04964539007092199;0.1;0.04065040650406505;0.013824884792626727;0.08421052631578947;0.13333333333333333;0.0;0.04075235109717868;0.0625;0.1;0.05263157894736842;0.0625;0.12037037037037036;0.01990049751243781;0.06153846153846154;0.07377049180327869;0.02702702702702703;0.05217391304347826;0.0821917808219178
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.19444444444444448;1.0;0.6000000000000001;0.030303030303030304;0.0;0.08119658119658121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23893805309734512;0.13157894736842105;0.5625;0.23204419889502764;0.030303030303030304;0.0;0.0;0.0;0.17391304347826086;0.07142857142857142;0.13043478260869565;0.043478260869565216;0.22413793103448276;0.1440329218106996;0.09523809523809523;0.041666666666666664;0.05333333333333334;0.0;0.0625;0.0;0.1794871794871795;0.17045454545454547;0.09090909090909091;0.0;0.14035087719298245;0.025;0.34285714285714286;0.06756756756756757;0.16326530612244897;0.12280701754385964;0.07446808510638298;0.140625;0.2803738317757009;0.07575757575757576;0.048387096774193554;0.03333333333333333;0.17142857142857146;0.14615384615384616;0.024;0.0;0.0;0.19047619047619047;0.22448979591836732;0.15217391304347827;0.16666666666666666;0.23404255319148934;0.11666666666666667;0.024390243902439025;0.05529953917050691;0.09473684210526316;0.06666666666666667;0.0;0.20689655172413793;0.20535714285714285;0.06;0.02631578947368421;0.0;0.18518518518518517;0.1691542288557214;0.2923076923076923;0.26229508196721313;0.20270270270270271;0.291304347826087;0.0
