CO_MUNICIPIO;IN_BIBLIOTECA_SALA_LEITURA;IN_REFEITORIO;IN_EQUIP_IMPRESSORA;NU_EQUIP_COPIADORA;NU_EQUIP_FOTO;IN_MATERIAL_ESP_NAO_UTILIZA;IN_EJA;IN_PROFISSIONALIZANTE;TX_RESP_Q004_C;TX_RESP_Q004_E;TX_RESP_Q005_A;TX_RESP_Q019_F;TX_RESP_Q027_B;TX_RESP_Q036_C;TX_RESP_Q036_E;TX_RESP_Q037_D;TX_RESP_Q039_D;TX_RESP_Q042_B;TX_RESP_Q043_A
0.0;1.0;0.0;1.0;0.2;0.0;1.0;1.0;0.0;0.027624309392265192;0.15151515151515152;0.08695652173913043;0.0;0.0;0.07608695652173914;0.08333333333333333;0.08333333333333333;0.06666666666666667;0.21052631578947367;0.1111111111111111
0.0;1.0;0.0;1.0;0.2;0.15384615384615385;1.0;1.0;0.0;0.17679558011049723;0.07575757575757576;0.0;0.02040816326530612;0.06666666666666667;0.21739130434782608;0.1111111111111111;0.05;0.0;0.05263157894736842;0.018518518518518517
0.0;1.0;0.0;1.0;0.6000000000000001;0.0;1.0;0.0;0.0;0.06629834254143646;0.045454545454545456;0.13043478260869565;0.0;0.0;0.07608695652173914;0.0;0.1;0.06666666666666667;0.07894736842105263;0.07407407407407407
0.0;1.0;1.0;1.0;0.4;0.15384615384615385;1.0;1.0;0.0;0.22651933701657456;0.045454545454545456;0.0;0.2040816326530612;0.0;0.20652173913043478;0.0;0.15;0.0;0.07894736842105263;0.08333333333333333
0.0;1.0;1.0;0.0;0.0;0.07692307692307693;1.0;1.0;0.0;0.08839779005524862;0.015151515151515152;0.13043478260869565;0.0;0.0;0.06521739130434782;0.05555555555555555;0.08333333333333333;0.0;0.02631578947368421;0.06481481481481481
0.0;1.0;1.0;1.0;0.2;0.07692307692307693;1.0;1.0;0.0;0.13259668508287292;0.015151515151515152;0.043478260869565216;0.04081632653061224;0.06666666666666667;0.13043478260869565;0.027777777777777776;0.05;0.13333333333333333;0.02631578947368421;0.027777777777777776
0.0;1.0;0.0;1.0;0.2;0.07692307692307693;1.0;0.0;0.0;0.6685082872928176;0.09090909090909091;0.17391304347826086;0.36734693877551017;0.2;0.5543478260869565;0.08333333333333333;0.25;0.13333333333333333;0.13157894736842105;0.09259259259259259
0.0030391441769950234;1.0;1.0;1.0;0.2;0.15384615384615385;1.0;1.0;1.0;0.2928176795580111;0.13636363636363635;0.17391304347826086;0.08163265306122448;0.2;0.20652173913043478;0.08333333333333333;0.15;0.26666666666666666;0.3684210526315789;0.2962962962962963
0.0030391441769950234;1.0;0.0;0.0;0.0;0.07692307692307693;1.0;0.0;0.0;0.16574585635359118;0.045454545454545456;0.043478260869565216;0.18367346938775508;0.0;0.07608695652173914;0.0;0.0;0.0;0.07894736842105263;0.10185185185185185
0.009056649647448012;1.0;0.0;1.0;0.2;0.07692307692307693;1.0;1.0;1.0;0.18232044198895025;0.15151515151515152;0.4782608695652174;0.12244897959183673;0.06666666666666667;0.15217391304347827;0.2777777777777778;0.2;0.13333333333333333;0.0;0.18518518518518517
