IN_COMUM_FUND_AF;TX_RESP_Q036_C;TX_RESP_Q037_D;TX_RESP_Q041_B;TX_RESP_Q060_B
1.0;0.07608695652173914;0.08333333333333333;0.13392857142857142;0.008695652173913045
1.0;0.21739130434782608;0.05;0.11607142857142856;0.1782608695652174
1.0;0.07608695652173914;0.1;0.07142857142857142;0.04782608695652174
0.0;0.20652173913043478;0.15;0.15178571428571427;0.13478260869565217
1.0;0.06521739130434782;0.08333333333333333;0.125;0.08695652173913043
1.0;0.13043478260869565;0.05;0.09821428571428571;0.008695652173913045
0.0;0.5543478260869565;0.25;0.27678571428571425;0.5260869565217392
1.0;0.20652173913043478;0.15;0.36607142857142855;0.2521739130434783
0.0;0.07608695652173914;0.0;0.08928571428571427;0.1217391304347826
0.0;0.15217391304347827;0.2;0.25;0.23043478260869565
0.0;0.010869565217391304;0.1;0.0625;0.05217391304347826
0.0;0.15217391304347827;0.11666666666666667;0.20535714285714285;0.291304347826087
0.0;0.42391304347826086;0.3333333333333333;0.39285714285714285;0.4130434782608696
0.0;0.40217391304347827;0.13333333333333333;0.45535714285714285;0.4739130434782609
0.0;0.06521739130434782;0.08333333333333333;0.1875;0.14347826086956522
0.0;0.40217391304347827;0.6333333333333333;0.7053571428571428;0.3347826086956522
0.0;0.14130434782608695;0.15;0.1607142857142857;0.22608695652173913
0.0;0.14130434782608695;0.16666666666666666;0.25;0.2695652173913044
0.0;0.2608695652173913;0.08333333333333333;0.21428571428571427;0.32173913043478264
1.0;0.0;0.016666666666666666;0.05357142857142857;0.017391304347826087
0.0;0.2717391304347826;0.36666666666666664;0.6428571428571428;0.4521739130434783
1.0;0.14130434782608695;0.21666666666666667;0.3482142857142857;0.20869565217391303
0.0;0.13043478260869565;0.11666666666666667;0.16964285714285712;0.24782608695652172
0.0;0.17391304347826086;0.1;0.1607142857142857;0.11304347826086956
0.0;0.043478260869565216;0.05;0.10714285714285714;0.07391304347826087
0.0;0.10869565217391304;0.2833333333333333;0.29464285714285715;0.18695652173913044
0.0;0.2934782608695652;0.16666666666666666;0.3571428571428571;0.34347826086956523
0.0;0.11956521739130435;0.13333333333333333;0.1875;0.2217391304347826
1.0;0.05434782608695652;0.11666666666666667;0.11607142857142856;0.07826086956521738
1.0;0.15217391304347827;0.2833333333333333;0.375;0.30000000000000004
1.0;0.07608695652173914;0.06666666666666667;0.2232142857142857;0.1565217391304348
1.0;0.05434782608695652;0.13333333333333333;0.05357142857142857;0.08260869565217391
1.0;0.03260869565217391;0.08333333333333333;0.09821428571428571;0.07826086956521738
1.0;0.06521739130434782;0.2;0.125;0.1782608695652174
1.0;0.03260869565217391;0.06666666666666667;0.0625;0.07391304347826087
0.0;0.21739130434782608;0.08333333333333333;0.09821428571428571;0.2565217391304348
0.0;0.25;0.13333333333333333;0.2232142857142857;0.21739130434782608
1.0;0.17391304347826086;0.31666666666666665;0.29464285714285715;0.1391304347826087
0.0;0.2717391304347826;0.16666666666666666;0.2857142857142857;0.32173913043478264
1.0;0.043478260869565216;0.16666666666666666;0.08928571428571427;0.06956521739130435
1.0;0.06521739130434782;0.15;0.25;0.11304347826086956
0.0;0.6195652173913043;0.18333333333333332;0.36607142857142855;0.4782608695652174
0.0;0.17391304347826086;0.1;0.3214285714285714;0.2739130434782609
0.0;0.18478260869565216;0.08333333333333333;0.21428571428571427;0.35652173913043483
1.0;0.010869565217391304;0.03333333333333333;0.0625;0.026086956521739132
1.0;0.06521739130434782;0.18333333333333332;0.1875;0.11304347826086956
0.0;0.2608695652173913;0.31666666666666665;0.6160714285714285;0.4173913043478261
0.0;0.19565217391304346;0.23333333333333334;0.3214285714285714;0.2956521739130435
1.0;0.043478260869565216;0.06666666666666667;0.08035714285714285;0.07826086956521738
0.0;0.21739130434782608;0.1;0.17857142857142855;0.2391304347826087
0.0;0.010869565217391304;0.1;0.026785714285714284;0.04782608695652174
0.0;0.05434782608695652;0.06666666666666667;0.08035714285714285;0.06521739130434782
0.0;0.34782608695652173;0.5833333333333334;0.7232142857142857;0.40869565217391307
0.0;0.14130434782608695;0.0;0.15178571428571427;0.15217391304347827
0.0;0.43478260869565216;0.08333333333333333;0.11607142857142856;0.34347826086956523
0.0;0.043478260869565216;0.1;0.19642857142857142;0.07391304347826087
1.0;0.10869565217391304;0.15;0.23214285714285712;0.24347826086956523
1.0;0.010869565217391304;0.1;0.04464285714285714;0.030434782608695653
1.0;0.22826086956521738;0.31666666666666665;0.4196428571428571;0.31739130434782614
1.0;0.14130434782608695;0.1;0.15178571428571427;0.1391304347826087
0.0;0.5217391304347826;0.11666666666666667;0.19642857142857142;0.3695652173913044
0.0;0.10869565217391304;0.1;0.09821428571428571;0.12608695652173912
0.0;0.03260869565217391;0.08333333333333333;0.17857142857142855;0.07391304347826087
0.0;0.17391304347826086;0.18333333333333332;0.23214285714285712;0.3086956521739131
0.0;0.16304347826086957;0.06666666666666667;0.13392857142857142;0.16956521739130434
0.0;0.10869565217391304;0.13333333333333333;0.24107142857142855;0.16521739130434782
0.0;0.043478260869565216;0.18333333333333332;0.2589285714285714;0.13478260869565217
0.0;0.19565217391304346;0.05;0.15178571428571427;0.2521739130434783
0.0;0.2608695652173913;0.55;0.6428571428571428;0.4
1.0;0.06521739130434782;0.18333333333333332;0.08928571428571427;0.06521739130434782
0.0;0.13043478260869565;0.06666666666666667;0.13392857142857142;0.1391304347826087
1.0;0.07608695652173914;0.1;0.09821428571428571;0.08260869565217391
0.0;0.5434782608695652;0.43333333333333335;0.7589285714285714;0.46956521739130436
0.0;0.08695652173913043;0.13333333333333333;0.16964285714285712;0.08695652173913043
1.0;0.06521739130434782;0.03333333333333333;0.09821428571428571;0.06956521739130435
0.0;0.03260869565217391;0.16666666666666666;0.14285714285714285;0.13478260869565217
0.0;0.31521739130434784;0.26666666666666666;0.33928571428571425;0.4130434782608696
1.0;0.33695652173913043;1.0;0.7589285714285714;0.582608695652174
0.0;0.3913043478260869;0.4666666666666667;0.4821428571428571;0.3521739130434783
1.0;0.5978260869565217;0.6166666666666667;0.5714285714285714;0.7913043478260869
0.0;0.31521739130434784;0.16666666666666666;0.26785714285714285;0.36086956521739133
0.0;0.09782608695652173;0.06666666666666667;0.08035714285714285;0.09130434782608696
0.0;0.3913043478260869;0.3;0.3839285714285714;0.36086956521739133
0.0;0.34782608695652173;0.3833333333333333;0.5446428571428571;0.2782608695652174
0.0;0.09782608695652173;0.06666666666666667;0.09821428571428571;0.10869565217391304
0.0;0.717391304347826;0.7166666666666667;0.9285714285714285;0.6565217391304348
0.0;0.19565217391304346;0.23333333333333334;0.375;0.291304347826087
0.0;0.30434782608695654;0.11666666666666667;0.16964285714285712;0.30434782608695654
0.0;0.5;0.15;0.14285714285714285;0.4565217391304348
0.0;0.22826086956521738;0.2833333333333333;0.33928571428571425;0.44347826086956527
1.0;0.10869565217391304;0.2;0.25;0.18695652173913044
0.0;0.30434782608695654;0.25;0.33035714285714285;0.40869565217391307
0.0;0.40217391304347827;0.8166666666666667;0.6785714285714285;0.4347826086956522
0.0;0.11956521739130435;0.13333333333333333;0.1607142857142857;0.1608695652173913
0.0;0.10869565217391304;0.08333333333333333;0.13392857142857142;0.17391304347826086
1.0;0.043478260869565216;0.03333333333333333;0.07142857142857142;0.0608695652173913
1.0;0.17391304347826086;0.03333333333333333;0.16964285714285712;0.17391304347826086
0.0;0.14130434782608695;0.05;0.08928571428571427;0.026086956521739132
1.0;0.3804347826086956;0.23333333333333334;0.4196428571428571;0.33913043478260874
1.0;0.5108695652173912;0.15;0.2857142857142857;0.3869565217391305
0.0;0.31521739130434784;0.3;0.16964285714285712;0.30000000000000004
1.0;0.10869565217391304;0.16666666666666666;0.25;0.15217391304347827
1.0;0.010869565217391304;0.05;0.017857142857142856;0.026086956521739132
0.0;0.31521739130434784;0.05;0.19642857142857142;0.2565217391304348
1.0;0.06521739130434782;0.1;0.125;0.1
1.0;0.07608695652173914;0.08333333333333333;0.0625;0.04782608695652174
1.0;0.08695652173913043;0.06666666666666667;0.0625;0.08260869565217391
0.0;0.20652173913043478;0.15;0.3125;0.24347826086956523
0.0;0.13043478260869565;0.08333333333333333;0.24107142857142855;0.20869565217391303
0.0;0.14130434782608695;0.2;0.2589285714285714;0.2391304347826087
0.0;0.358695652173913;0.4666666666666667;0.46428571428571425;0.3521739130434783
0.0;0.03260869565217391;0.36666666666666664;0.15178571428571427;0.16956521739130434
0.0;0.13043478260869565;0.03333333333333333;0.03571428571428571;0.15217391304347827
0.0;0.11956521739130435;0.05;0.11607142857142856;0.17391304347826086
0.0;0.5;0.26666666666666666;0.5267857142857143;0.42608695652173917
1.0;0.2717391304347826;0.3333333333333333;0.4821428571428571;0.30434782608695654
1.0;0.14130434782608695;0.11666666666666667;0.2857142857142857;0.24347826086956523
1.0;0.09782608695652173;0.11666666666666667;0.20535714285714285;0.15217391304347827
0.0;0.2608695652173913;0.05;0.2232142857142857;0.2782608695652174
0.0;0.4891304347826087;0.2;0.2232142857142857;0.35652173913043483
0.0;0.43478260869565216;0.26666666666666666;0.39285714285714285;0.3826086956521739
0.0;0.3695652173913043;0.05;0.09821428571428571;0.2695652173913044
0.0;0.3913043478260869;0.1;0.13392857142857142;0.28695652173913044
0.0;0.2391304347826087;0.25;0.24107142857142855;0.23478260869565218
0.0;0.4782608695652174;0.3;0.2232142857142857;0.33913043478260874
0.0;0.18478260869565216;0.1;0.1607142857142857;0.22608695652173913
0.0;0.41304347826086957;0.3333333333333333;0.5803571428571428;0.391304347826087
0.0;0.6847826086956521;0.5;0.9285714285714285;0.7000000000000001
1.0;0.14130434782608695;0.05;0.13392857142857142;0.0608695652173913
0.0;0.16304347826086957;0.15;0.10714285714285714;0.23043478260869565
0.0;0.05434782608695652;0.16666666666666666;0.10714285714285714;0.16956521739130434
0.0;0.20652173913043478;0.25;0.24107142857142855;0.30434782608695654
0.0;0.11956521739130435;0.05;0.0625;0.1391304347826087
1.0;0.043478260869565216;0.08333333333333333;0.14285714285714285;0.1391304347826087
0.0;0.10869565217391304;0.15;0.3214285714285714;0.19130434782608696
0.0;0.10869565217391304;0.11666666666666667;0.21428571428571427;0.08260869565217391
0.0;0.11956521739130435;0.06666666666666667;0.1875;0.18695652173913044
1.0;0.15217391304347827;0.21666666666666667;0.5;0.1956521739130435
0.0;0.05434782608695652;0.06666666666666667;0.15178571428571427;0.12608695652173912
0.0;0.06521739130434782;0.16666666666666666;0.17857142857142855;0.11304347826086956
0.0;0.19565217391304346;0.18333333333333332;0.2857142857142857;0.291304347826087
0.0;0.21739130434782608;0.26666666666666666;0.2232142857142857;0.30434782608695654
0.0;0.25;0.05;0.2232142857142857;0.20869565217391303
1.0;0.10869565217391304;0.43333333333333335;0.39285714285714285;0.1391304347826087
0.0;0.4782608695652174;0.16666666666666666;0.3125;0.44782608695652176
1.0;0.06521739130434782;0.21666666666666667;0.19642857142857142;0.11304347826086956
0.0;0.09782608695652173;0.15;0.10714285714285714;0.10434782608695652
0.0;0.358695652173913;0.21666666666666667;0.15178571428571427;0.2695652173913044
1.0;0.15217391304347827;0.2;0.3125;0.14782608695652175
1.0;0.03260869565217391;0.05;0.05357142857142857;0.043478260869565216
0.0;0.21739130434782608;0.26666666666666666;0.33928571428571425;0.3347826086956522
0.0;0.31521739130434784;0.5666666666666667;0.8571428571428571;0.5391304347826087
0.0;0.43478260869565216;0.18333333333333332;0.23214285714285712;0.48695652173913045
1.0;0.21739130434782608;0.4666666666666667;0.6339285714285714;0.4782608695652174
1.0;0.10869565217391304;0.06666666666666667;0.13392857142857142;0.13478260869565217
0.0;0.19565217391304346;0.08333333333333333;0.20535714285714285;0.32608695652173914
1.0;0.14130434782608695;0.18333333333333332;0.2857142857142857;0.24347826086956523
1.0;0.03260869565217391;0.0;0.0;0.026086956521739132
0.0;0.13043478260869565;0.11666666666666667;0.21428571428571427;0.21739130434782608
0.0;0.14130434782608695;0.05;0.14285714285714285;0.1
1.0;0.07608695652173914;0.08333333333333333;0.008928571428571428;0.0608695652173913
1.0;0.16304347826086957;0.2;0.24107142857142855;0.20869565217391303
0.0;0.25;0.18333333333333332;0.15178571428571427;0.24347826086956523
1.0;0.08695652173913043;0.08333333333333333;0.11607142857142856;0.1217391304347826
1.0;0.05434782608695652;0.06666666666666667;0.05357142857142857;0.0608695652173913
0.0;0.25;0.18333333333333332;0.30357142857142855;0.23478260869565218
1.0;0.16304347826086957;0.13333333333333333;0.09821428571428571;0.2
0.0;0.11956521739130435;0.06666666666666667;0.14285714285714285;0.13043478260869565
0.0;0.17391304347826086;0.08333333333333333;0.14285714285714285;0.1782608695652174
0.0;0.40217391304347827;0.31666666666666665;0.5267857142857143;0.4608695652173913
0.0;0.16304347826086957;0.06666666666666667;0.1607142857142857;0.1782608695652174
1.0;0.043478260869565216;0.03333333333333333;0.0625;0.06521739130434782
1.0;0.15217391304347827;0.08333333333333333;0.14285714285714285;0.10434782608695652
0.0;0.11956521739130435;0.05;0.05357142857142857;0.11739130434782609
0.0;0.13043478260869565;0.05;0.14285714285714285;0.1956521739130435
1.0;0.25;0.016666666666666666;0.05357142857142857;0.14782608695652175
0.0;0.358695652173913;0.016666666666666666;0.13392857142857142;0.06956521739130435
0.0;0.2934782608695652;0.15;0.19642857142857142;0.28260869565217395
0.0;0.25;0.3833333333333333;0.42857142857142855;0.30434782608695654
0.0;0.15217391304347827;0.03333333333333333;0.3125;0.11304347826086956
0.0;0.18478260869565216;0.11666666666666667;0.5535714285714285;0.24782608695652172
0.0;0.14130434782608695;0.05;0.3571428571428571;0.14347826086956522
1.0;0.021739130434782608;0.1;0.0625;0.0608695652173913
0.0;0.09782608695652173;0.06666666666666667;0.10714285714285714;0.11739130434782609
0.0;0.2391304347826087;0.3333333333333333;0.5;0.13478260869565217
0.0;0.6086956521739131;0.16666666666666666;0.5089285714285714;0.5956521739130435
0.0;0.16304347826086957;0.55;0.6071428571428571;0.4347826086956522
0.0;0.19565217391304346;0.13333333333333333;0.26785714285714285;0.28695652173913044
0.0;0.16304347826086957;0.45;0.5714285714285714;0.2956521739130435
0.0;0.18478260869565216;0.11666666666666667;0.2857142857142857;0.2217391304347826
1.0;0.021739130434782608;0.13333333333333333;0.16964285714285712;0.09565217391304348
0.0;0.06521739130434782;0.11666666666666667;0.125;0.09565217391304348
1.0;0.2934782608695652;0.15;0.27678571428571425;0.31739130434782614
0.0;0.32608695652173914;0.2;0.375;0.33913043478260874
1.0;0.532608695652174;0.4;0.8125;0.6391304347826088
0.0;0.06521739130434782;0.06666666666666667;0.10714285714285714;0.09565217391304348
0.0;0.07608695652173914;0.11666666666666667;0.08928571428571427;0.19130434782608696
0.0;0.11956521739130435;0.21666666666666667;0.24107142857142855;0.13478260869565217
0.0;0.021739130434782608;0.03333333333333333;0.14285714285714285;0.05652173913043478
0.0;0.21739130434782608;0.3833333333333333;0.5535714285714285;0.4391304347826087
0.0;0.14130434782608695;0.2;0.20535714285714285;0.20869565217391303
0.0;0.3913043478260869;0.35;0.5267857142857143;0.23478260869565218
0.0;0.31521739130434784;0.16666666666666666;0.20535714285714285;0.28260869565217395
0.0;0.22826086956521738;0.13333333333333333;0.24107142857142855;0.30434782608695654
0.0;0.20652173913043478;0.1;0.08928571428571427;0.20869565217391303
1.0;0.15217391304347827;0.36666666666666664;0.36607142857142855;0.24782608695652172
0.0;0.19565217391304346;0.5;0.33928571428571425;0.3478260869565218
0.0;0.11956521739130435;0.05;0.15178571428571427;0.10869565217391304
1.0;0.08695652173913043;0.05;0.05357142857142857;0.12608695652173912
1.0;0.14130434782608695;0.15;0.23214285714285712;0.14347826086956522
0.0;0.2934782608695652;0.06666666666666667;0.08035714285714285;0.30434782608695654
0.0;0.3695652173913043;0.36666666666666664;0.45535714285714285;0.4
1.0;0.010869565217391304;0.016666666666666666;0.008928571428571428;0.017391304347826087
0.0;0.19565217391304346;0.1;0.17857142857142855;0.16521739130434782
1.0;0.13043478260869565;0.13333333333333333;0.26785714285714285;0.043478260869565216
1.0;0.021739130434782608;0.05;0.08035714285714285;0.08695652173913043
0.0;0.20652173913043478;0.016666666666666666;0.24107142857142855;0.26521739130434785
0.0;0.021739130434782608;0.03333333333333333;0.04464285714285714;0.04782608695652174
1.0;0.10869565217391304;0.05;0.1607142857142857;0.10869565217391304
0.0;0.20652173913043478;0.3;0.25;0.291304347826087
