TX_RESP_Q019_F;TX_RESP_Q004_C;IN_COMUM_FUND_AF;TX_RESP_Q038_A;TX_RESP_Q042_B;TX_RESP_Q018_B;TX_RESP_Q004_H;TX_RESP_Q013_C;TX_RESP_Q004_F;TX_RESP_Q041_C;TX_RESP_Q004_G;TX_RESP_Q042_C;TX_RESP_Q041_B;TX_RESP_Q004_E;TX_RESP_Q037_D;TX_RESP_Q043_A;TX_RESP_Q041_A;TX_RESP_Q036_C;TX_RESP_Q043_B;TX_RESP_Q015_B;TX_RESP_Q019_G;TX_RESP_Q023_G
0.0;0.027624309392265192;1.0;0.10569105691056911;0.21052631578947367;0.10526315789473684;0.0;0.031746031746031744;0.03125;0.1;0.0;0.0;0.13392857142857142;0.15151515151515152;0.08333333333333333;0.1111111111111111;0.037617554858934164;0.07608695652173914;0.03980099502487562;0.0625;0.0;0.01904761904761905
0.02040816326530612;0.17679558011049723;1.0;0.04065040650406505;0.05263157894736842;0.08771929824561403;0.0;0.09523809523809523;0.03125;0.04;0.0;0.0625;0.11607142857142856;0.07575757575757576;0.05;0.018518518518518517;0.16927899686520376;0.21739130434782608;0.15671641791044777;0.15625;0.14035087719298245;0.1904761904761905
0.0;0.06629834254143646;1.0;0.0813008130081301;0.07894736842105263;0.03508771929824561;0.0;0.015873015873015872;0.09375;0.06;0.07142857142857142;0.0625;0.07142857142857142;0.045454545454545456;0.1;0.07407407407407407;0.0909090909090909;0.07608695652173914;0.06965174129353234;0.0625;0.08771929824561403;0.09523809523809526
0.2040816326530612;0.22651933701657456;0.0;0.05691056910569106;0.07894736842105263;0.12280701754385964;0.0;0.06349206349206349;0.03125;0.1;0.07142857142857142;0.125;0.15178571428571427;0.045454545454545456;0.15;0.08333333333333333;0.1724137931034483;0.20652173913043478;0.15920398009950248;0.21875;0.07017543859649122;0.08571428571428572
0.0;0.08839779005524862;1.0;0.06504065040650407;0.02631578947368421;0.08771929824561403;0.0;0.06349206349206349;0.03125;0.02;0.0;0.0;0.125;0.015151515151515152;0.08333333333333333;0.06481481481481481;0.08150470219435736;0.06521739130434782;0.07462686567164178;0.03125;0.05263157894736842;0.0761904761904762
0.04081632653061224;0.13259668508287292;1.0;0.0813008130081301;0.02631578947368421;0.08771929824561403;0.0;0.06349206349206349;0.0;0.02;0.0;0.0;0.09821428571428571;0.015151515151515152;0.05;0.027777777777777776;0.10344827586206896;0.13043478260869565;0.0945273631840796;0.03125;0.05263157894736842;0.08571428571428572
0.36734693877551017;0.6685082872928176;0.0;0.032520325203252036;0.13157894736842105;0.22807017543859648;0.0;0.19047619047619047;0.0;0.06;0.0;0.0;0.27678571428571425;0.09090909090909091;0.25;0.09259259259259259;0.5391849529780564;0.5543478260869565;0.47761194029850745;0.3125;0.15789473684210525;0.29523809523809524
0.08163265306122448;0.2928176795580111;1.0;0.14634146341463417;0.3684210526315789;0.19298245614035087;0.0;0.031746031746031744;0.1875;0.14;0.14285714285714285;0.125;0.36607142857142855;0.13636363636363635;0.15;0.2962962962962963;0.15987460815047022;0.20652173913043478;0.15671641791044777;0.25;0.2982456140350877;0.26666666666666666
0.18367346938775508;0.16574585635359118;0.0;0.016260162601626018;0.07894736842105263;0.07017543859649122;0.0;0.14285714285714285;0.0;0.08;0.0;0.0625;0.08928571428571427;0.045454545454545456;0.0;0.10185185185185185;0.09717868338557993;0.07608695652173914;0.07462686567164178;0.03125;0.05263157894736842;0.057142857142857155
0.12244897959183673;0.18232044198895025;0.0;0.0813008130081301;0.0;0.17543859649122806;0.0;0.0;0.03125;0.12;0.14285714285714285;0.0;0.25;0.15151515151515152;0.2;0.18518518518518517;0.16614420062695925;0.15217391304347827;0.15671641791044777;0.28125;0.22807017543859648;0.17142857142857146
